แต่ละวัน	ควรสร้างสรรค์	สิ่งแปลกใหม่	เช่นปั่นไฟ	โดยใช้เท้า	ถีบจักรยาน	Each day we should create novel things such as making electricity by riding a bicycle rapidly.
ปฐพี	ที่เสมอกัน	นั้นไม่มี	ทุกชีวี	บนโลกนี้	ก็เช่นกัน	All lands are not equal of levels and every life in the world is too.
ใจมนุษย์	น่ากลัวสุด	ในโลกนี้	จิตย่อมมี	กี่แสนชั้น	นั้นสุดหยั่ง	The hearts of humans are the most frightful in the world because they have many hundred thousand of layers unable to be fathomed.
ตาอ่านไป	แต่ไม่คิด	ผิดวิสัย	กินอะไร	แต่ไม่ย่อย	ไร้ผลดี	It's against the object of the senses if reading is without thinking. It is useless if eating is without digestion.
อารยชน	ในอดีต	ขูดรีดคน	ทุกแห่งหน	ถูกรุกล่า	มาเป็นทาส	Civilized peoples in the past fleeced many and every area was hunted for colonialism and slavery.
คลั่งศรัทธา	ล้วนนำมา	กี่สงคราม	ฆ่าคุกคาม	ตามหัวเหมือง	เลือดเนืองนอง	Being mad about faith has brought many wars. Killing has broken out bloodily through many big cities.
รู้น้อยนิด	ตัดตัวไป	ไร้ผลดี	เพราะย่อมมี	คนดูแคลน	แสนเจ็บปวด	"Little knowledge accompanying us is futile, for we will be painfully disdained."
เหตุเดียวกัน	บางท่านได้	คำสรรเสริญ	กลับเชื้อเชิญ	คำนินทา	ด่าอีกท่าน	From the same cause some can get praises but others get condemnation.
ตรงสิ่งนี้	สุดแสนดี	สำหรับเรา	ดูพวกเขา	กลับอับเฉา	เพราะสิ่งนี้	These things are considered the best for us but may be very drooping for others.
ยิ่งกินมาก	ความอยากนั้น	ทำลายตน	กลายเป็นคน	ไม่รักตน	อย่างแท้จริง	A desire to eat more and more can destroy ourselves and we become those who don't love themselves truly.
พวกใจกล้า	หาได้กลัว	เหตุแรงร้าย	ไม่ตื่นง่าย	เพราะได้ทำ	จิตหนักแน่น	People with brave hearts don't fear terrible causes and aren't easily alarmed owing to their unyieldingness.
แหล่งอุดม	ช่วยเพาะบ่ม	ความรักกัน	แหล่งเจริญนั้น	พวกนักปราชญ์	มีดาษดา	Plentiful areas help to breed mutual love and civilized lands accommodate philosophers.
ความรู้ใด	ไหนจะวิ่ง	มาสมอง	จงมุ่งปอง	แสวงหา	มาใส่ตน	What knowledge can run to our brains ifself ? Be resolute to seek it for yourself.
ยาขมเป็น	เช่นการเรียน	สิ่งที่ยาก	หวานถูกปาก	คือผลดี	ที่มีให้	Learning difficult things is like taking a bitter drug but its good result is a sweet taste.
พวกคนพาล	สันดานยก	ตนข่มท่าน	ชอบกล่าวรั้น	ว่าข่มท่าน	นั้นแหล่ะดี	Rascals are likely to speak as if they are better and often say stubbornly that behaving like this is good.
พิธีใด	มีเผาไฟ	โลกยิ่งร้อน	โลกใกล้มรณ์	เมื่อร้อนคล้าย	ดาวพระศุกร์	Any ceremony burning things makes the world hot and nearly die when it is hot like Venus.
พวกคนพาล	สันดานชั่ว	ร้ายพอกัน	แม้พวกนั้น	อยู่ชนชั้น	รวยหรือจน	Rascals and those inbornly wicked are equally bad although they are affluent or indigent.
ให้กำลังใจ	ตัวเองได้	อย่าหน่ายหนี	เพราะชีวี	มีแต่ความ	ผันแปรไป	"Hearten yourself and don't flee tiredly, because life is full of variance."
ยามทุกข์ยาก	หากทำใจ	ให้เข้มแข็ง	จิตย่อมแกร่ง	คอยเป็นเพื่อน	เตือนปลอบตน	"If you fortify your heart during hardship, your strengthened mind can be your friend and soothe you."
รู้ใครใคร	ย่อมสอนให้	เราฉลาด	รู้เหมือนปราชญ์	หากรู้ตน	ค้นสัจจา	Knowing various people can make us clever. We can know like a philosopher if we know ourselves and discover the truths.
พลังใจ	ให้อดทน	สบายใจ	คอยแก้ไข	เปิดใจมอง	เห็นทางออก	Mental power can give us fortitude and delight. Solve a problem by opening your mind to see an exit.
อย่าคิดแต่	ให้แง่ลบ	เมื่อคบเพื่อน	อาจช่วยเตือน	แนะนำได้	คลายปัญหา	Don't give only negative ideas to your friends but may give them suggestions for relieving the problems concerned.
พวกสัตว์ร้าย	มีมากมาย	อยู่ตามป่า	ถูกนำมา	ฝึกให้ทำ	ตามจำนง	Many fierce animals live in their forests but can be brought for purposeful training.
หูไว้หู	ฟังตรงดู	ก่อนเชื่อตาม	อย่าหลงความ	แหย่และยุ	กุขึ้นมา	Incredulity can give contemplation before belief. Don't be lost in inciting things that are made up.
อย่าทะนง	คงยืนกราน	รู้ผู้เดียว	ควรเฉลียว	ถนอมใจ	ใครใครบ้าง	Don't be arrogant to think that only you know well. You should have an intuition to keep the goodwill of others.
ควรพึ่งพา	อาศัยกัน	ปันสุขศรี	คิดว่าดี	เพียงผู้เดียว	เดี๋ยวหมดมิตร	"Depending on one another can bring about bliss. If you think only you are good, you will have no friends."
มีนิสัย	สังเกตดู	เป็นครูเยี่ยม	เป็นการเตรียม	สัพพัญญู	ผู้รอบคอบ	Being habitually observant can be an excellent teacher and this helps one to be circumspectly omniscient.
พวกประชา	ถ้าเกียจคร้านๆ	บ้านเมืองล้า	ผู้นำถ้า	ไม่เป็นธรรม	นำชาติเสื่อม	"If people are indolent, the country becomes inactive. If the leader is unfair, the nation becomes degenerative."
นักบวชดี	ย่อมมีความ	สำรวมได้	อารมณ์ร้าย	บัณฑิตดี	ไม่มีเผย	Good ordainers can be reserved and good pundits never show bad temper.
ราษฎร์ที่ดี	ย่อมต้องมี	ความขยัน	ย่อมแบ่งปัน	สิ่งสร้างสรรค์	ให้บ้านเมือง	Good citizens have to be industrious and often share their creative things with the nation.
จบออกไป	ไร้มาตรฐาน	เหมือนสองคม	ต้องทุกข์ตรม	ถูกสังคม	รุมเย้ยหยัน	Graduation without standard is two – edged because it has to be grievously sneered by the society.
โดยส่วนใหญ่	พวกชาวนา	น่าเห็นใจ	ทุกข์ปานใด	ปลุกข้าวให้	ทุกคนกิน	"Most farmers are worth sympathy, for they are miserable to grow rice for all consumers."
หลายโรงสี	ซ่อนท่าที	ที่เอาเปรียบ	กลโกงเพียบ	กับชาวนา	น่าประณาม	Many rice mills have hidden their advantage and their cheating tactics with farmers are condemnable.
พวกเจริญ	ไม่เหลิงลอง	คอยลืมตัว	ไม่หมองมัว	หมดกำลังใจ	ในยามหลาด	"Civilized people are not frolicsome and don't forget themselves. Besides, they are not gloomy nor disheartened by their mistakes."
หลงลาภยศ	ย่อมหมดค่า	ของคนดี	ทิ้งหน้าที่	หรือจะมี	ใครเชื่อถือ	"Infatuated with gains and ranks, a good person becomes valueless. If having neglected their duties, good persons become discreditable."
พวกฉลาด	ไม่ประมาท	เปิดช่องว่าง	เป็นแบบอย่าง	รับผิดชอบ	ตอบหน้าที่	Clever people are not careless to open any gaps and can be exemplars responsible for their duties.
กลัวใดใด	ย่อมหมดไป	โดยความรู้	เพราะช่วยกู้	ฟื้นปัญญา	มาเป็นเพื่อน	"Knowledge can get rid of all fears, for it can recover intelligence to be our comrade."
หลายสิ่งนั้น	มันสมบูรณ์	เพราะพึ่งกัน	ร้ายมหันต์	ถ้าแตกกัน	ไม่ร่วมมือ	Many things have become perfect because of their interdependence. It will be very vicious if they have conflict or lack cooperation.
ถ้าที่ใด	ไม่เหมาะสม	ไม่น่าอยู่	มีแต่ผู้	ดูเมินไป	ไม่อยากเยือน	"If a place is not proper nor livable, People only disregard it and don't want to visit it at all."
พวกรวยทรัพย์	หน้าผ่องใส	มีใจกว้าง	เป็นแบบอย่าง	ใครต่อใคร	อยากใกล้ชม	"If wealthy people with bright faces are broad – minded, they can be exemplary, attracting many visitors."
ฝึกจิตใจ	ให้เข้มแข็ง	ยามวิบาก	ความทุกข์ยาก	คอยสอนใจ	ไม่อ่อนแอ	Practise your heart to be powerful during affliction and any misery can teach your heart not to be weak.
การทำใจ	ย่อมแก้ไข	ปัญหารัก	ทุกข์ที่หนัก	จักบรรเทา	เพียงเข้าใจ	Having self – control can help solve a love problem and heavy sufferings can be relieved with understanding.
ใจยอมรับ	กับความทุกข์	เกิดจากรัก	ย่อมตระหนัก	ความรักเป็น	เช่นนั้นเอง	"If your heart can accept sufferings caused by love, you can realize that love is so."
ความรักงาน	ประสารกับ	ความสามารถ	ย่อมเปรื่องปราด	สร้างผลงาน	ทุกด้านเยี่ยม	Work love coordinates ability and it is likely to create proficiency in excellent results of work.
เมื่อรักมา	ต้องลาไป	ไม่อยู่นาน	ไม่อาจทาน	การระเหย	ของไอรัก	"When love comes, it stays for a while and has to say goodbye, for it cannot resist the volatility of love."
ล้วนผันแปร	แน่นอนเรา	ย่อมเสียใจ	ค่าหมดไป	ถ้าไม่ทำ	สิ่งดีขึ้น	We are naturally sorry that things are changeable. Our value will disappear if we don't improve things.
เพียบน้ำใจ	มนต์ใดใด	ไม่อาจสู้	มีแต่ผู้	ชิดชมเยือน	เหมือนแม่เหล็ก	Any magic formula cannot compete with a place full of good will that is like a magnet for visit or attraction.
ความอ่อนน้อม	ความอุตส่าห์	เพิ่มค่าคน	ปลวกดั้นด้น	ปลูกสร้างรัง	ดั่งภูผา	Humbleness and assiduity can increase a value of people like termites industriously building their huge termitarium.
พวกมั่งมี	ทำดีใด	ส่วนใหญ่สน	พวกคนจน	ทำดีใด	ส่วนใหญ่เฉย	"If rich people do good things, most have interest in them. If poor people do good things, most have no interest in them."
อ่านด้วยจิต	ด้วยความคิด	เลือกคัดสรรค์	เพื่อกรองกลั่น	สาระไว้	ไร้อาสวะ	Reading with cerebration is for selecting and filtering only essence not nonessentials.
สุดยากหา	ผู้มีค่า	ดีทุกอย่าง	ดีชั่วบ้าง	โง่ฉลาดบ้าง	อย่างปุถุชน	It's extremely difficult to find a valuable person perfect for everything. But good and bad or silly and clever ones are prevalent.
พุทธองค์	ทรงสอนอย่า	ปรุงแต่งใจ	ยิ่งทำไป	ยิ่งไร้ทาง	พ้นมายา	Buddha teaches us not to dress up the mind because doing so more cannot make us avert delusion.
พวกคนพาล	สะท้อนก้อง	สู่โลกต่ำ	คนค่าล้ำ	นำเสียงก้อง	สู่โลกสูง	"Rascals are widely notorious, going to the lower world but valuable people are worldwidely famous, going to the higher world."
ประเสริฐกว่า	ถ้าเพียรทำ	สิ่งสร้างสรรค์	ชีพแสนสั้น	ควรมุ่งมั่น	ทำสิ่งดี	"It's more precious if we endeavor to make creative things. Our life span is very short, so we should set our heart on doing good things."
หลงใหลเพลง	มากเกินไป	ก็ไม่ดี	ฝังชีวี	กับเนื้อหา	พาเสพติด	"Too much infatuation in songs is not good, for you will bury your soul in them and become addicted."
คนส่วนใหญ่	ไม่ค่อยยอม	มองดูตน	แทบไม่ค้น	สิ่งดีชั่ว	ในตัวเอง	Most people hardly have introspection and rarely detect good and evil things in themselves.
อย่าทำใจ	ไปเสพติด	ละครเลย	อย่าสังเวย	สิ่งมายา	พาเพ้อเจ้อ	Don't make yourselves addicted to dramas. Don't be any sacrifice to illusionary things that make you nonsensical.
ไหว้บูชา	ปูนปฏิมา	ปัญญาจน	ควรไหว้คน	จาคะงาม	มุ่งความดี	Don't run out of ideas to pay homage or worship cemented figures or images. But you should do so with living ones who have self – sacrifice and virtue for others.
เด็กเกิดมา	หาได้เป็น	คนเลวไม่	เมื่อเติมใหญ่	คนล้อมใกล้	ล้วนกำหนด	Children were born not to be wicked but when they grow up surrounding people make them so.
เด็กเกิดมา	หาเป็นคน	ประเสริฐไม่	เมื่อเติมใหญ่	คนล้อมใกล้	ช่วยกำหนด	Children were born not to be esteemed but when they grow up surrounding people can make them so.
บันเทิงใจ	ให้การอ่าน	เพลิดเพลินได้	ได้ความหมาย	ได้ความรู้	อยู่ยืนยง	Entertain your mind through reading enjoyingly and you can gain meaningful and lasting knowledge.
หลายชีวี	มีความงาม	ความเหมาะสม	ความโสมม	อยู่เบื้องหลัง	ถูกบังซ่อน	Many lives seem to have their beauty and suitability but their vileness is behind or covered.
ถ้าผู้น้อย	คอยรับการ	กดขี่ไว้	มักร่วมใจ	ไปเรียกร้อง	ความเป็นธรรม	"If subordinates often receive any oppression, they can be united in mind to ask for fairness."
พวกเป็นใหญ่	ในอำนาจ	อย่างชอบธรรม	เราอย่าล้ำ	ทำส่วนเกิน	เชิญผลร้าย	Don't try to surpass those with power disadvantageously if they have fairly gained their authority.
ชีวิตเรา	เป็นเจ้าของ	เพียงคนเดียว	เมื่อโดดเดี่ยว	บนทางใหม่	ไม่ต้องกลัว	Our life belongs to us alone. Don't fear anything when you are solitary on a new road.
ความเปลี่ยนแปลง	แฝงอะไร	ไม่ต้องกลัว	พึงรู้ตัว	ชีบคืองาน	ด้านทดลอง	Don't fear what to be concealed in variation. Be conscious that life is experimental work.
ฝูกแกะใด	ไร้แกะดำ	ย่อมไม่มี	ชุมชนดี	มีคนชั่ว	แฝงเสมอ	No herd of sheep without a black one exists.A good community is always has a bad person lurking behind.
ลำพังเกิด	เป็นชีวา	อย่าหวาดหวั่น	ทุกชีวัน	ล้วนจากกัน	ตามลำพัง	Don't be anxious. Every life is born alone and they have to die alone too.
แม้ก้าวพลาด	หรือบาดเจ็บ	มิต้องหวั่น	ทุกชีพนั้น	ต้องฟังฝ่า	บทเรียนรู้	Don't be worried if you have a misstep or an injury because every life must struggle through learning lessons.
สิ่งเล็กน้อย	ไม่ได้คอย	สนใจมัน	แต่สักวัน	มันอาจก่อ	ปัญหาใหญ่	We keep ignoring small things but one day they may cause big problems.
รับปัญหา	ภาระใคร	มาไขแก้	เราอาจแย่	แก้ปัญหา	ใดไม่ได้	"If you receive others' problems and burdens for solving, you may be worse and can solve nothing."
ถ้าชิงสุก	ก่อนห่ามได้	ผลร้ายมา	ถูกตราหน้า	แบ่งเวลา	หามองตน	"If you perform things too early, the bad results can come. You may be blamed that you have a time budget without considering yourself."
อัจฉริยะ	เพราะมานะ	ความอุตส่าห์	เทพนานา	หาได้ช่วย	เราได้ไม่	Some have become prodigious persons through their own endeavor and no gods have helped them at all.
ชุมชนใด	ถ้าส่วนใหญ่	ใช้ปัญญา	ร่วมธรรมา	ย่อมนำพา	ความเจริญ	"If the majority of any community make use of their wisdom and dharma, they can bring their prosperity."
บัญฑิตดี	ไม่มีแปร	แลหวั่นไหว	ทุกปัจจัย	ไม่กระทบ	จิตนิ่งเย็น	A good pundit is not volatile and anxious. Every factor cannot affect his or her equanimity.
สี่เท้าพลาด	นักปราชญ์พลั้ง	ยังมากมี	ระวังดี	ความผิดพลาด	อาจน้อยสุด	"Even many quadrupeds can fall and many philosophers can have a misstep. Be very watchful, so that you can have the fewest mistakes."
ข่าวทีวี	ช่วยให้มี	อุทาหรณ์	หลายสิ่งสอน	แม่อยู่เรือน	ภัยเยือนได้	"The TV news helps to give a teaching instance and many things that show although we stay home, any danger can visit us."
อุตริ	มิถูกต้อง	เรื่องสอนธรรม	หลายพระนำ	เหยื่อถลำ	มาเซ่นสรวง	Some monks are unorthodox about teaching dharma and many of them victimize those who have to make offerings.
เด็กมากมาย	ได้เติบโด	แต่กายา	แต่วิชา	และปัญญา	หาโตไม่	Many children keep growing with only their body sizes but their knowledge and wisdom don't grow.
คนมากมาย	ได้สูงวัย	แก่ชรา	แต่ปัญญา	ความคิดดี	หามีไม่	Many people have become more elderly but lacked wisdom and good opinions.
ปราชญ์ที่ดี	มีแก่นธรรม	นำสัจจา	อหิงสา	มีจาคะ	ละมลทิน	"A good philosopher has quintessence of dharma to lead all truths, ahimsa, sacrifice and removal of vice."
ล้วนเรียนรู้	จากเยาว์วัย	ไปจนตาย	จงมุ่งหมาย	รวบรวมไว้	ใช้เผยแพร่	We have learnt things from childhood to death. Intend to collect them for dissemination.
ประมาณตน	อย่าคุยโต	โอ้อวดใด	เสมอใคร	ศักดิ์ใหญ่กว่า	ยิ่งพาเสีย	Estimate yourself not to boast about anything. Trying to equal a more authoritative person is adverse.
ก่อนพูดไป	ให้ดูว่า	เวลาเหมาะ	พูดไพเราะ	ใช้วาจา	ที่น่าชม	"Before speaking, consider its proper time. We should speak beautifully with commendable words."
ทำอะไร	ไม่ควรเกิน	สภาพตน	ยิ่งน่ายล	ถ้าเป็นคน	ชอบถ่อมตน	Doing things should not go beyond our potential. It's more commendatory if we are more modest.
ทุกชีวี	มีช่วงดี	และช่วงร้าย	อย่าแหนงหน่าย	สิ่งมากมาย	ต้องเผชิญ	Every life has to pass good and bad spans of time. Don't be tired of many things you have to pass.
ทุกข์ชีวา	หาได้พ้น	ทุกข์นานา	ต้องฟันฝ่า	ผ่านให้ได้	หลายบทเรียน	"Every life is unlikely to survive various miseries, for they have to pass many life lessons."
ความผิดพลาด	อาจมองดู	ว่าดีได้	สื่อความหมาย	ได้เตือนใจ	ให้เรียนรู้	Being mistaken may become good because it can mean something reminding us.
ทำอะไร	ผิดพลาดไว้	ใช่ไร้ค่า	ยังดีกว่า	พวกหนีหน้า	ไม่ทำงาน	Having made a mistake is not worthless because it is still better than doing nothing.
ยามท้อถอย	ยามอับจน	ต้องทรฝ่า	สติปัญญา	ความพยายาม	ช่วยงามผล	Tolerate discouragement and checkmate. Intellect and attempt can give fruitfulness.
เมื่อสับสน	ไม่เข้าใจ	ในชิวิต	ควรทำจิต	ให้ครวญคิด	และเรียนรู้	"When confused and not understanding life, you should have reflection and learn about it."
พวกคนเขลา	เฝ้ามองตน	เองว่าดี	คนที่ดี	ไม่มีการ	หลอกตัวเอง	Vacuous people keep considerating themselves as good ones but virtuous people never have self – deception.
ทำอะไร	ให้เหมาะสม	กับตนได้	มีความหมาย	ได้เหมาะกับ	สถานที่	"If you can do something appropriate for yourself, it can be meaningfully suitable for the place too."
นิ่งใจเย็น	ให้รู้ทัน	คนรอบข้าง	รู้ทันอย่าง	ชาญฉลาด	ไม่พลาดท่า	Be equanimous and able to sense surrounding people's wishes. Know them ingeniously not to make a false step.
การแลกเปลี่ยน	ทางปัญญา	พารุ่งได้	อาจวอดวาย	ถ้าหมายแลก	เปลี่ยนึความเขลา	The exchange of intelligence can lead to prosperity. But the exchange of stupidity can be ruinous.
ประเสริญไหม	อยู่ที่ใจ	ให้กำหนด	สิ่งทั้งหมด	รวมที่ใจ	ในสมอง	Being prime or not is determined by the mind. All things are centred in the mind or the brain.
ผู้สูงธรรม	นำจิตใจ	สูงพร้อมกัน	ไม่ไหวหวั่น	ตามสังคม	เปี่ยมผมชั่ว	Those that have high dharma are high minded. They don't tremble at the wicked complex of a society.
ปรสิต	ชอบติดมา	"กับเนื้อ,ผัก"	จงตระหนัก	อย่ามักง่าย	ตายเพราะกิน	Parasites often stealthily come with meat and vegetable. Realize possible death owing to incautious eating.
มีน้ำใจ	ชี้ให้เห็น	ค่าของคน	พึงแยบยล	เลือกคนก่อน	ให้น้ำใจ	Having good will indicates worth of a person Be vigilant to choose people who can receive good will.
ชนปัญญา	หรือจะหา	พวกหมอดู	ผู้รอบรู้	ไม่เคยดู	ดวงกับโหร	Intellectuals never consult with any fortuneteller. Erudite ones never consult with any astrologer.
โลกใหญ่กว้าง	มีหลายอย่าง	ท้ามาลอง	อย่าคะนอง	ควรเลือกลอง	สิ่งปลอดภัย	The wide world has many things that challenge a try. Don't be exuberant and choose to try on safe things.
ถ้าผู้ใด	ใจช่วยเตือน	ว่าเป็นพาล	ส่อสันดาน	ดีกว่าพาล	ไม่รู้ตัว	Some who can remind themselves of being troublesome show good nature. They are better than wicked ones that don't know themselves.
บัญฑิตใด	ใช้ปัญญา	เกินขอบเขต	อาจเป็นเหตุ	อาเพศภัย	เหมือนอาวุธ	"If some pundits use their brains beyond the good scope, they may become perilous weapons."
หญิงและชาย	ไม่ได้เหลื่อม	ทางความคิด	เป็นบัณฑิต	เก่งความคิด	เหมือนกันได้	Men and women are not disparate in ideas. They can be pundits similarly good at concepts.
ผู้ตายไป	ในอดีต	ยังมีค่า	ทิ้งปรัชญา	คิดใดใด	ให้โลกเรียน	"Those who passed away in the past are still valuable, for they left philosophical concepts in the world for learning."
บางคนเป็น	เช่นปลาไหล	อยู่ใกล้เรา	ระวังเฝ้า	เขาอาจกลาย	เป็นงูพิษ	Some may be eels staying close to us. Be heedful the eels may become venomous snakes.
สิ่งที่เห็น	อาจไม่เป็น	เช่นั้นได้	สิ่งเหมือนง่าย	อาจกลายเป็น	สิ่งพิษภัย	The seen things may not be so. The seemingly easy things may become noxious.
ดูสถานการณ์	ทุกด้านก่อน	สังวรณ์ดี	หลีกสิ่งที่	ต้องเสี่ยงภัย	ไม่ประมาท	Mindfulness is to look at every circumstance first to avoid any hazard and recklessness.
ระวังไว้	ไม่ประมาท	ไม่เสียเปรียบ	บทเรียนเพียบ	ถูกเอาเปรียบ	สอนเจ็บจำ	Be prudent not to be neglectful and disadvantaged. Many painful lessons can remind you of much disadvantage.
ไม่เป็นสอง	รองใครได้	เพราะเหตุใด	เพราะฝักใฝ่	ใช้เชี่ยวชาญ	ด้านความรู้	The cause that makes you not the second to anyone is attentiveness to proficiency in knowledge.
พวกเชื่อมั่น	ตัวเองได้	ความหมายมี	ย่อมมีดี	ที่จะเผย	อย่างภูมิใจ	"Self – confidence can be meaningful, for it may have good things to be proudly disclosed."
คนรักเรา	เท่าใจเรา	นั้นไม่มี	หลงวจี	ที่พร่ำรัก	มักช้ำใจ	Those who love us as much as our hearts do are not found. Passion in pleading with sweet words of love often leads us to mental hurt.
ทุกข์ปัญหา	ฝึกความกล้า	ท้าเผชิญ	จึงอย่าเมิน	สร้างมั่นใจ	ให้ตัวเอง	"Suffering problems can practice our challenging courage, so don't turn the face away from your self – confidence."
กำลังใจ	ความอดทน	เป็นผลดี	สู้ชีวี	ย้อมทำได้	หลายรูปแบบ	"Encouragement and patience can be a good result, for they help life struggle to be in many forms."
ควายชนควาย	เราอย่าหมาย	เข้าไปกั้น	เขาทะเลาะกัน	ถ้าเรากัน	เราอาจตาย	Don't interven between two buffalos colliding with each other. We may die if we obstruct quarreling people.
ออมทรัพย์ไว้ 	ออมน้ำใจ	ให้กับมิตร	ยามวิกฤต	มิตรและทรัพย์	ช่วยเราได้	Save your riches and give good will to friends because they can help you during any crisis.
หลักให้พ้น	คนติดเหล้า	เมาติดยา	ถ้าคบหา	ย่อมพาเรา	เข้าตาจน	Evade any drunkard and drug addict. Making friends with them can lead us into the dead – end.
ชนปัญญา	แสวงหา	คำสอนไว้	พวงโง่ไย	ใฝ่เป็นทาส	คำเยินยอ	Intellectuals keep seeking instructive words. Silly ones often become slaves of flattering words.
ชายใดใด	ไม่เก่งกว่า	หญิงทุกเรื่อง	หญิงประเทือง	เรื่องคิดไว	มีไม่น้อย	Any man is not better than a woman at everything. There are many women who are good at quick thoughts.
ชั่วปัญญา	ได้ยศมา	ยิ่งเป็นภัย	อำนาจใช้	เบียดเบียนตน	และคนอื่น	"If a bad intellectual gets a rank, it may be a danger to others. Power may be used for persecution."
พวกคนพาล	คอยควานหา	โทษคนอื่น	หน้าระรื่น	โทษของตน	เส้นขนบัง	Mischievous people keep finding faults of others but their own can be covered happily by even a piece of hair.
ถูกปลูกฝัง	คำสั่งสอน	ผิดผิดมา	เปิดปัญญา	ตาสว่าง	จึงมิได้	Many false teachings have been inculcated in many people and that is why they cannot be disillusioned.
แก่นธรรมมี	ใกล้อยู่ที่	ใต้จมูก	ใจกลับถูก	ลากจูงไป	จึงไม่เห็น	The essence of dharma is very close under the nose but it is not seen because the mind is pulled away.
ผู้ไม่เคย	ถูกนินทา	หามีไม่	หาทั่วไป	ในโลกา	หาไม่มี	Those who are never gossiped are not found though the search around the world.
ถูกนินทา	ว่าอย่างเดียว	มีที่ไหน	ไม่มีใคร	ไหนได้คำ	ชมอย่างเดียว	There are not ones that receive only gossips and there are not ones that receive only praises.
จะมีใคร	ไหนกล้าติ	คนบางคน	ที่มวลชน	แยบยลชม	สรรเสริญ	Some cannot be blamed by anyone if the masses keep commending them.
รู้บางสิ่ง	อย่างแท้จริง	เป็นประโยชน์	กลับเป็นโทษ	รู้มากมาย	ได้ที่เปลือก	Knowing something truly can be useful but knowing many things superficially is disadvantageous.
เพราะโลภมาก	จึงยากทำ	เกินกำลัง	มักล้มพัง	เพราะคาดหวัง	ลาภเกินควร	"Because avidity causes desire to do things beyond their strength, they collapse through too much expectation of gains."
