แต่ละวัน,ควรสร้างสรรค์,สิ่งแปลกใหม่,เช่นปั่นไฟ,โดยใช้เท้า,ถีบจักรยาน
ยาขมเป็น,เช่นการเรียน,สิ่งที่ยาก,หวานถูกปาก,คือผลดี,ที่มีให้
พวกคนพาล,สันดานยก,ตนข่มท่าน,ชอบกล่าวรั้น,ว่าข่มท่าน,นั้นแหล่ะดี
พิธีใด,มีเผาไฟ,โลกยิ่งร้อน,โลกใกล้มรณ์,เมื่อร้อนคล้าย,ดาวพระศุกร์
พวกคนพาล,สันดานชั่ว,ร้ายพอกัน,แม้พวกนั้น,อยู่ชนชั้น,รวยหรือจน
ให้กำลังใจ,ตัวเองได้,อย่าหน่ายหนี,เพราะชีวี,มีแต่ความ,ผันแปรไป
ยามทุกข์ยาก,หากทำใจ,ให้เข้มแข็ง,จิตย่อมแกร่ง,คอยเป็นเพื่อน,เตือนปลอบตน
รู้ใครใคร,ย่อมสอนให้,เราฉลาด,รู้เหมือนปราชญ์,หากรู้ตน,ค้นสัจจา
พลังใจ,ให้อดทน,สบายใจ,คอยแก้ไข,เปิดใจมอง,เห็นทางออก
อย่าคิดแต่,ให้แง่ลบ,เมื่อคบเพื่อน,อาจช่วยเตือน,แนะนำได้,คลายปัญหา
พวกสัตว์ร้าย,มีมากมาย,อยู่ตามป่า,ถูกนำมา,ฝึกให้ทำ,ตามจำนง
หูไว้หู,ฟังตรงดู,ก่อนเชื่อตาม,อย่าหลงความ,แหย่และยุ,กุขึ้นมา
อย่าทะนง,คงยืนกราน,รู้ผู้เดียว,ควรเฉลียว,ถนอมใจ,ใครใครบ้าง
ควรพึ่งพา,อาศัยกัน,ปันสุขศรี,คิดว่าดี,เพียงผู้เดียว,เดี๋ยวหมดมิตร
มีนิสัย,สังเกตดู,เป็นครูเยี่ยม,เป็นการเตรียม,สัพพัญญู,ผู้รอบคอบ
พวกประชา,ถ้าเกียจคร้านๆ,บ้านเมืองล้า,ผู้นำถ้า,ไม่เป็นธรรม,นำชาติเสื่อม
นักบวชดี,ย่อมมีความ,สำรวมได้,อารมณ์ร้าย,บัณฑิตดี,ไม่มีเผย
ราษฎร์ที่ดี,ย่อมต้องมี,ความขยัน,ย่อมแบ่งปัน,สิ่งสร้างสรรค์,ให้บ้านเมือง
จบออกไป,ไร้มาตรฐาน,เหมือนสองคม,ต้องทุกข์ตรม,ถูกสังคม,รุมเย้ยหยัน
โดยส่วนใหญ่,พวกชาวนา,น่าเห็นใจ,ทุกข์ปานใด,ปลุกข้าวให้,ทุกคนกิน
หลายโรงสี,ซ่อนท่าที,ที่เอาเปรียบ,กลโกงเพียบ,กับชาวนา,น่าประณาม
พวกเจริญ,ไม่เหลิงลอง,คอยลืมตัว,ไม่หมองมัว,หมดกำลังใจ,ในยามหลาด
หลงลาภยศ,ย่อมหมดค่า,ของคนดี,ทิ้งหน้าที่,หรือจะมี,ใครเชื่อถือ
พวกฉลาด,ไม่ประมาท,เปิดช่องว่าง,เป็นแบบอย่าง,รับผิดชอบ,ตอบหน้าที่
กลัวใดใด,ย่อมหมดไป,โดยความรู้,เพราะช่วยกู้,ฟื้นปัญญา,มาเป็นเพื่อน
หลายสิ่งนั้น,มันสมบูรณ์,เพราะพึ่งกัน,ร้ายมหันต์,ถ้าแตกกัน,ไม่ร่วมมือ
ถ้าที่ใด,ไม่เหมาะสม,ไม่น่าอยู่,มีแต่ผู้,ดูเมินไป,ไม่อยากเยือน
พวกรวยทรัพย์,หน้าผ่องใส,มีใจกว้าง,เป็นแบบอย่าง,ใครต่อใคร,อยากใกล้ชม
ฝึกจิตใจ,ให้เข้มแข็ง,ยามวิบาก,ความทุกข์ยาก,คอยสอนใจ,ไม่อ่อนแอ
การทำใจ,ย่อมแก้ไข,ปัญหารัก,ทุกข์ที่หนัก,จักบรรเทา,เพียงเข้าใจ
ใจยอมรับ,กับความทุกข์,เกิดจากรัก,ย่อมตระหนัก,ความรักเป็น,เช่นนั้นเอง
ความรักงาน,ประสารกับ,ความสามารถ,ย่อมเปรื่องปราด,สร้างผลงาน,ทุกด้านเยี่ยม
เมื่อรักมา,ต้องลาไป,ไม่อยู่นาน,ไม่อาจทาน,การระเหย,ของไอรัก
ล้วนผันแปร,แน่นอนเรา,ย่อมเสียใจ,ค่าหมดไป,ถ้าไม่ทำ,สิ่งดีขึ้น
เพียบน้ำใจ,มนต์ใดใด,ไม่อาจสู้,มีแต่ผู้,ชิดชมเยือน,เหมือนแม่เหล็ก
ความอ่อนน้อม,ความอุตส่าห์,เพิ่มค่าคน,ปลวกดั้นด้น,ปลูกสร้างรัง,ดั่งภูผา
พวกมั่งมี,ทำดีใด,ส่วนใหญ่สน,พวกคนจน,ทำดีใด,ส่วนใหญ่เฉย
อ่านด้วยจิต,ด้วยความคิด,เลือกคัดสรรค์,เพื่อกรองกลั่น,สาระไว้,ไร้อาสวะ
สุดยากหา,ผู้มีค่า,ดีทุกอย่าง,ดีชั่วบ้าง,โง่ฉลาดบ้าง,อย่างปุถุชน
พุทธองค์,ทรงสอนอย่า,ปรุงแต่งใจ,ยิ่งทำไป,ยิ่งไร้ทาง,พ้นมายา
พวกคนพาล,สะท้อนก้อง,สู่โลกต่ำ,คนค่าล้ำ,นำเสียงก้อง,สู่โลกสูง
ประเสริฐกว่า,ถ้าเพียรทำ,สิ่งสร้างสรรค์,ชีพแสนสั้น,ควรมุ่งมั่น,ทำสิ่งดี
หลงใหลเพลง,มากเกินไป,ก็ไม่ดี,ฝังชีวี,กับเนื้อหา,พาเสพติด
คนส่วนใหญ่,ไม่ค่อยยอม,มองดูตน,แทบไม่ค้น,สิ่งดีชั่ว,ในตัวเอง
อย่าทำใจ,ไปเสพติด,ละครเลย,อย่าสังเวย,สิ่งมายา,พาเพ้อเจ้อ
ไหว้บูชา,ปูนปฏิมา,ปัญญาจน,ควรไหว้คน,จาคะงาม,มุ่งความดี
เด็กเกิดมา,หาได้เป็น,คนเลวไม่,เมื่อเติมใหญ่,คนล้อมใกล้,ล้วนกำหนด
เด็กเกิดมา,หาเป็นคน,ประเสริฐไม่,เมื่อเติมใหญ่,คนล้อมใกล้,ช่วยกำหนด
บันเทิงใจ,ให้การอ่าน,เพลิดเพลินได้,ได้ความหมาย,ได้ความรู้,อยู่ยืนยง
หลายชีวี,มีความงาม,ความเหมาะสม,ความโสมม,อยู่เบื้องหลัง,ถูกบังซ่อน
ถ้าผู้น้อย,คอยรับการ,กดขี่ไว้,มักร่วมใจ,ไปเรียกร้อง,ความเป็นธรรม
พวกเป็นใหญ่,ในอำนาจ,อย่างชอบธรรม,เราอย่าล้ำ,ทำส่วนเกิน,เชิญผลร้าย
ชีวิตเรา,เป็นเจ้าของ,เพียงคนเดียว,เมื่อโดดเดี่ยว,บนทางใหม่,ไม่ต้องกลัว
ความเปลี่ยนแปลง,แฝงอะไร,ไม่ต้องกลัว,พึงรู้ตัว,ชีบคืองาน,ด้านทดลอง
ฝูกแกะใด,ไร้แกะดำ,ย่อมไม่มี,ชุมชนดี,มีคนชั่ว,แฝงเสมอ
ลำพังเกิด,เป็นชีวา,อย่าหวาดหวั่น,ทุกชีวัน,ล้วนจากกัน,ตามลำพัง
แม้ก้าวพลาด,หรือบาดเจ็บ,มิต้องหวั่น,ทุกชีพนั้น,ต้องฟังฝ่า,บทเรียนรู้
สิ่งเล็กน้อย,ไม่ได้คอย,สนใจมัน,แต่สักวัน,มันอาจก่อ,ปัญหาใหญ่
รับปัญหา,ภาระใคร,มาไขแก้,เราอาจแย่,แก้ปัญหา,ใดไม่ได้
ถ้าชิงสุก,ก่อนห่ามได้,ผลร้ายมา,ถูกตราหน้า,แบ่งเวลา,หามองตน
อัจฉริยะ,เพราะมานะ,ความอุตส่าห์,เทพนานา,หาได้ช่วย,เราได้ไม่
ชุมชนใด,ถ้าส่วนใหญ่,ใช้ปัญญา,ร่วมธรรมา,ย่อมนำพา,ความเจริญ
บัญฑิตดี,ไม่มีแปร,แลหวั่นไหว,ทุกปัจจัย,ไม่กระทบ,จิตนิ่งเย็น
สี่เท้าพลาด,นักปราชญ์พลั้ง,ยังมากมี,ระวังดี,ความผิดพลาด,อาจน้อยสุด
ข่าวทีวี,ช่วยให้มี,อุทาหรณ์,หลายสิ่งสอน,แม่อยู่เรือน,ภัยเยือนได้
อุตริ,มิถูกต้อง,เรื่องสอนธรรม,หลายพระนำ,เหยื่อถลำ,มาเซ่นสรวง
เด็กมากมาย,ได้เติบโด,แต่กายา,แต่วิชา,และปัญญา,หาโตไม่
คนมากมาย,ได้สูงวัย,แก่ชรา,แต่ปัญญา,ความคิดดี,หามีไม่
ปราชญ์ที่ดี,มีแก่นธรรม,นำสัจจา,อหิงสา,มีจาคะ,ละมลทิน
ล้วนเรียนรู้,จากเยาว์วัย,ไปจนตาย,จงมุ่งหมาย,รวบรวมไว้,ใช้เผยแพร่
ประมาณตน,อย่าคุยโต,โอ้อวดใด,เสมอใคร,ศักดิ์ใหญ่กว่า,ยิ่งพาเสีย
ก่อนพูดไป,ให้ดูว่า,เวลาเหมาะ,พูดไพเราะ,ใช้วาจา,ที่น่าชม
ทำอะไร,ไม่ควรเกิน,สภาพตน,ยิ่งน่ายล,ถ้าเป็นคน,ชอบถ่อมตน
ทุกชีวี,มีช่วงดี,และช่วงร้าย,อย่าแหนงหน่าย,สิ่งมากมาย,ต้องเผชิญ
ทุกข์ชีวา,หาได้พ้น,ทุกข์นานา,ต้องฟันฝ่า,ผ่านให้ได้,หลายบทเรียน
ความผิดพลาด,อาจมองดู,ว่าดีได้,สื่อความหมาย,ได้เตือนใจ,ให้เรียนรู้
ทำอะไร,ผิดพลาดไว้,ใช่ไร้ค่า,ยังดีกว่า,พวกหนีหน้า,ไม่ทำงาน
ยามท้อถอย,ยามอับจน,ต้องทรฝ่า,สติปัญญา,ความพยายาม,ช่วยงามผล
เมื่อสับสน,ไม่เข้าใจ,ในชิวิต,ควรทำจิต,ให้ครวญคิด,และเรียนรู้
พวกคนเขลา,เฝ้ามองตน,เองว่าดี,คนที่ดี,ไม่มีการ,หลอกตัวเอง
ทำอะไร,ให้เหมาะสม,กับตนได้,มีความหมาย,ได้เหมาะกับ,สถานที่
นิ่งใจเย็น,ให้รู้ทัน,คนรอบข้าง,รู้ทันอย่าง,ชาญฉลาด,ไม่พลาดท่า
การแลกเปลี่ยน,ทางปัญญา,พารุ่งได้,อาจวอดวาย,ถ้าหมายแลก,เปลี่ยนึความเขลา
ประเสริญไหม,อยู่ที่ใจ,ให้กำหนด,สิ่งทั้งหมด,รวมที่ใจ,ในสมอง
ผู้สูงธรรม,นำจิตใจ,สูงพร้อมกัน,ไม่ไหวหวั่น,ตามสังคม,เปี่ยมผมชั่ว
ปรสิต,ชอบติดมา,กับเนื้อ ผัก,จงตระหนัก,อย่ามักง่าย,ตายเพราะกิน
มีน้ำใจ,ชี้ให้เห็น,ค่าของคน,พึงแยบยล,เลือกคนก่อน,ให้น้ำใจ
ชนปัญญา,หรือจะหา,พวกหมอดู,ผู้รอบรู้,ไม่เคยดู,ดวงกับโหร
โลกใหญ่กว้าง,มีหลายอย่าง,ท้ามาลอง,อย่าคะนอง,ควรเลือกลอง,สิ่งปลอดภัย
ถ้าผู้ใด,ใจช่วยเตือน,ว่าเป็นพาล,ส่อสันดาน,ดีกว่าพาล,ไม่รู้ตัว
บัญฑิตใด,ใช้ปัญญา,เกินขอบเขต,อาจเป็นเหตุ,อาเพศภัย,เหมือนอาวุธ
หญิงและชาย,ไม่ได้เหลื่อม,ทางความคิด,เป็นบัณฑิต,เก่งความคิด,เหมือนกันได้
ผู้ตายไป,ในอดีต,ยังมีค่า,ทิ้งปรัชญา,คิดใดใด,ให้โลกเรียน
บางคนเป็น,เช่นปลาไหล,อยู่ใกล้เรา,ระวังเฝ้า,เขาอาจกลาย,เป็นงูพิษ
สิ่งที่เห็น,อาจไม่เป็น,เช่นั้นได้,สิ่งเหมือนง่าย,อาจกลายเป็น,สิ่งพิษภัย
ดูสถานการณ์,ทุกด้านก่อน,สังวรณ์ดี,หลีกสิ่งที่,ต้องเสี่ยงภัย,ไม่ประมาท
ระวังไว้,ไม่ประมาท,ไม่เสียเปรียบ,บทเรียนเพียบ,ถูกเอาเปรียบ,สอนเจ็บจำ
ไม่เป็นสอง,รองใครได้,เพราะเหตุใด,เพราะฝักใฝ่,ใช้เชี่ยวชาญ,ด้านความรู้
พวกเชื่อมั่น,ตัวเองได้,ความหมายมี,ย่อมมีดี,ที่จะเผย,อย่างภูมิใจ
คนรักเรา,เท่าใจเรา,นั้นไม่มี,หลงวจี,ที่พร่ำรัก,มักช้ำใจ
ทุกข์ปัญหา,ฝึกความกล้า,ท้าเผชิญ,จึงอย่าเมิน,สร้างมั่นใจ,ให้ตัวเอง
กำลังใจ,ความอดทน,เป็นผลดี,สู้ชีวี,ย้อมทำได้,หลายรูปแบบ
ควายชนควาย,เราอย่าหมาย,เข้าไปกั้น,เขาทะเลาะกัน,ถ้าเรากัน,เราอาจตาย
ออมทรัพย์ไว้ ,ออมน้ำใจ,ให้กับมิตร,ยามวิกฤต,มิตรและทรัพย์,ช่วยเราได้
หลักให้พ้น,คนติดเหล้า,เมาติดยา,ถ้าคบหา,ย่อมพาเรา,เข้าตาจน
ชนปัญญา,แสวงหา,คำสอนไว้,พวงโง่ไย,ใฝ่เป็นทาส,คำเยินยอ
ชายใดใด,ไม่เก่งกว่า,หญิงทุกเรื่อง,หญิงประเทือง,เรื่องคิดไว,มีไม่น้อย
ชั่วปัญญา,ได้ยศมา,ยิ่งเป็นภัย,อำนาจใช้,เบียดเบียนตน,และคนอื่น
พวกคนพาล,คอยควานหา,โทษคนอื่น,หน้าระรื่น,โทษของตน,เส้นขนบัง
ถูกปลูกฝัง,คำสั่งสอน,ผิดผิดมา,เปิดปัญญา,ตาสว่าง,จึงมิได้
แก่นธรรมมี,ใกล้อยู่ที่,ใต้จมูก,ใจกลับถูก,ลากจูงไป,จึงไม่เห็น
ผู้ไม่เคย,ถูกนินทา,หามีไม่,หาทั่วไป,ในโลกา,หาไม่มี
ถูกนินทา,ว่าอย่างเดียว,มีที่ไหน,ไม่มีใคร,ไหนได้คำ,ชมอย่างเดียว
จะมีใคร,ไหนกล้าติ,คนบางคน,ที่มวลชน,แยบยลชม,สรรเสริญ
รู้บางสิ่ง,อย่างแท้จริง,เป็นประโยชน์,กลับเป็นโทษ,รู้มากมาย,ได้ที่เปลือก
เพราะโลภมาก,จึงยากทำ,เกินกำลัง,มักล้มพัง,เพราะคาดหวัง,ลาภเกินควร
ถ้าแต่งกาย,ไม่สมวัย,ใครใครเย้ย,ถ้าเกินเลย,ชุดแต่งกาย,ย่อมขายหน้า
ให้คนชั่ว,เก็บทรัพย์ไว้,ไม่อยู่นาน,ในมือมาร,สินถูกผลาญ,อย่างง่ายดาย
ยิ่งเชื่อมั่น,ในตัวท่าน,นั่นยิ่งดี,ยิ่งมากมี,กำลังใจ,ให้ผลงาน
ลดความอยาก,ความมักมาก,ได้เมื่อใด,ยิ่งสุขใจ,ไม่สิ้นเปลือง,ทางอารมณ์
เสียทรัพย์ไป,ไม่ร้ายเท่า,เสียเพื่อนดี,เสียศักดิ์ศรี,ดีกว่าเสีย,ภูมิปัญญา
พวกมุ่งใจ,ให้สำเร็จ,มีมากมาย,ยากพบได้,คือคนดี,มีคุณค่า
ตั้งเป้าหมาย,ทิศทางใด,ในชีวา,ยิ่งเห็นค่า,หาวิธี,ถึงจุดหมาย
ทุกชีวา,เหมือนกีฬา,มิใช่เกมส์,ควรเกษม,เล่นเต็มขั้น,บั่นสิ่งพร่อง
หาคู่ครอง,ควรตรองดู,ให้รอบคอบ,องค์ประกอบ,ทรัพย์ นิสัย,ให้พิศด้วย
ดูวงศา,คณาญาติ,แม่และพ่อ,อาจมากพอ,ดูนิสัย,ใครคนหนึ่ง
ใครเปลี่ยนคู่,มาหลายครา,อย่าไว้ใจ,เสียนิสัย,ใครต่อใคร,ย่อมอยากลา
ชนปัญญา,รู้ตนว่า,น้อยความรู้,พวกอวดรู้,คือผู้เขลา,หลงเงาตน
จุดบกพร่อง,ของใครใคร,ให้ค่าได้,สื่อความหมาย,สอนเราได้,เหมือนเป็นครู
ปราชญ์ติเรา,อย่าเศร้าใจ,ให้ขื่นขม,ดีกว่าชม,โดยพวกพาล,สันดานชั่ว
อ่อนเกินไป,ใครต่อใคร,มักดูหมิ่น,แข็งบ้าบิ่น,แข็งเกินไป,ให้ผลร้าย
ความพอดี,ที่ประพฤติ,ยึดหลักธรรม,เป็นแบบนำ,กระทำตาม,โดยผู้อื่น
คนมากมาย,บวชแต่กาย,ได้เท่านั้น,ตรงข้ามกัน,คนทั่วไป,บวชใจได้
ธุดงค์ไป,กลางพนา,หานิพพาน,กลับยิ่งต้าน,การได้เป็น,โสดาบัน
อยู่ที่นี่,และวันนี้,เพียงแค่นั้น,ใจของท่าน,ก็บรรลุ,แก่นธรรมได้
รับผิดชอบ,ตัวเองได้,ความหมายเลิศ,ย่อมชูเชิด,ในหน้าที่,สุขศรีมา
จงฝึกใจ,ให้แข็งแกร่ง,เป็นที่พึ่ง,ศรัทธาซึ้ง,พึ่งตนเอง,ด้วยปัญญา
ฝึกฝนตน,ให้เป็นคน,พึ่งตนได้,สื่อความหมาย,คนมากมาย,ได้แบบอย่าง
สามารถใด,ไม่ศึกษา,พาไร้ผล,ย่อมอับจน,เรียนสิ่งใด,ไร้ศักยะ
ไม่สนใจ,โรคและภัย,กลับดื้อรั้น,ทุกวี่วัน,สิ่งพิษภัย,ยิ่งใกล้ตัว
ทำสิ่งใด,ไร้ประโยชน์,เกินกำลัง,สิ่งผิดหวัง,ประดังมา,หน้าประตู
ทำงานใหญ่,ให้สำเร็จ,ก่อนค่อยอวด,เพราะอาจชวด,คำกล่าวชม,สมดั่งใจ
เมื่อรักกัน,ย้อมาสร้างสรรค์,กำลังใจ,ไม่หวั่นไหว,ในการสู้,กับชีวิต
ไร้คนรัก,จงตระหนัก,ความรักตน,เพื่อนหลายคน,และวงศา,อ้าแขนรับ
หาสิ่งดี,ในทางดี,มีเก็บไว้,ออมเรื่อยไป,ย่อมไปสู่,ความมั่งมี
ความโชคร้าย,พิชิตได้,ด้วยความกล้า,ร่วมธรรมา,ฆ่านิสัย,ที่ไม่ดี
สำนึกดี,มีแก้ไข,ในสิ่งผิด,อย่ามัวคิด,ว่าทำผิด,นั่นเลวร้าย
ไม่น่าอาย,ถ้าเรากลาย,กลับยากจน,แต่อดทน,เร่งขยัน,หมั่นออมทรัพย์
มากสิ่งดี,เก็บเงียบไว้,ย่อมไร้ค่า,ควรนำมา,สร้างคุณค่า,สร้างประโยชน์
มากบุญญา,วาสนา,ก็ทุกข์ได้,แก่เจ็บตาย,ใครหนีได้,แม้เทวา
หลงสำราญ,การกินได้,อาจตายไว,รสใดใด,เป็นภัยได้,แม้รสตาล
ชีพมีค่า,กว่าทรัพย์สิน,และเคหา,สิ้นชีวา,หาแทนใหม่,ไม่ได้เลย
เห็นแก่นธรรม,นำจิตเห็น,พุทธองค์,ยิ่งธุดงค์,ค้นหาไป,ยิ่งไม่เจอ
หลงดารา,ยิ่งนำพา,ฟุ้งซ่ายจิต,ควรค้าคิด,สิ่งสร้างสรรค์,กันดีกว่า
ทุกข์ในเมือง,จะเรืองรอง,ได้อย่างไร,ถ้าส่วนใหญ่,ทำตัวไร้,ความรู้ดี
ฝึกแมวหมา,คนทั่วหล้า,ทำกันมาก,แต่ทำยาก,มากที่สุด,คือฝึกตน
บัณฑิตดี,มีการฝึก,ตัวเองได้,มีหลายราย,บัณฑิตพ่าย,ภัยตัวเอง
รักใดใด,ไม่เสมอ,การรักตน,แม่ดั้นด้น,รักคนอื่น,จนหมดใจ
พวกตัวล่อ,ล้ำค่าพอ,ช่วยชาติได้,ค่ายมากมาย,ได้อาศัย,ล่อขนส่ง
ลูกที่ดี,มีคำนึง,ถึงพ่อแม่,คอยไขแก้,นิสัยแย่,ไม่เมินเฉย
พวกยุงลาย,ร้ายกว่าเสือ,เหลือจะทน,ฆ่าหลายคน,แต่ละปี,มีหลายราย
สิ่งไม่เคย,อย่าเที่ยวเอ่ย,อ้างอวดรู้,อ้างเป็นครู,รู้ทุกวิชา,อย่าหมายทำ
หงส์คู่หงส์,คงศักดิ์ศรี,ที่น่าดู,หงส์กับงู,ดูแล้วเป็น,ไปไม่ได้
ถ้าสิ่งใด,สอนใจเจ็บ,เก็บจดจำ,อย่าถลำ,ซ้ำความผิด,ที่เป็นครู
ถ้าเปิดใจ,ใช้เป็นตา,หาความรู้,ย่อมไปสู้,โลกสว่าง,ทางปัญญา
การตกงาน,มิใช่ด้านๆ,น่าดูแคลน,ถ้าวางแผน,ไม่งอมือ,หรืองอเท้า
ถูกปฏิเสธ,มิอาเพศ,เสียศักดิ์ศรี,เพราะบางที,ปฏิเสธเขา,เราเคยทำ
พวกที่เขลา,ชอบตามเงา,ของใครใคร,เขลาส่วนใหญ่,ไม่เป็นตัว,ของตัวเอง
ถูกทอดทิ้ง,มิใช่สิ่ง,เจ็บปวดใด,ปรับปรุงไว้,เพื่อรักใหม่,ไม่ผิดหวัง
พ้นทุกข์จิต,โดยความคิด,อิสรา,อย่าคอยคว้า,อาศัยแต่,ความคิดใคร
สัพพัญญู,รู้ทุกสิ่ง,หามีไม่,พวกรู้ใจ,นิสัยตน,มีน้อยนัก
ขุ่นเก็บใน,ออกหน้าใส,ให้น่าชื่น,ข่มและฝืน,ความโกรธา,พาคลี่คลาย
ใครโฉดมา,อย่าโกรธา,อย่าฟังเขา,ใครหลอกเรา,อย่าหูเบา,โลภเอาลาภ
หมากัดตน,อย่าเป็นคน,กัดกับหมา,อย่าลดค่า,ด่าทะเลาะ,กับพาลใด
ทุกความจริง,ย่อมเป็นสิ่ง,ประเสริฐแท้,อย่าเพี้ยนแปร,เป็นเครื่องมือ,สื่งลวงโลก
การกีฬา,นำพาความ,สามัคคี,แข็งแรงดี,ช่วยไม่มี,หลายโรคา
ด้วยปัญญา,พาการอ่าน,ให้คลายเครียด,หยุดเบียดเบียน,ตัวเองได้,สบายแด
ควรทำตน,เป็นคนรัก,ตัวเองจริง,รักใครยิ่ง,อาจเป็นสิ่ง,ทำลายตน
เมื่อตัวเอง,เป็นที่รัก,อย่ามักง่าย,สิ่งชั่วร้าย,อย่าหมายเข้า,ไปพัวพัน
รักษาตน,ให้พ้นทุกข์,พ้นภัยได้,สื่อความหมาย,ไม่ได้เป็น,ภารพใคร
ผู้ทำร้าย,ตัวเองได้,ร้ายพิษภัย,ทำร้ายใคร,ต่อใครได้,ง่ายเช่นกัน
รักษาตน,ให้พ้นภัย,ให้แบบดี,ทรัพย์ที่มี,นอกกายา,รักษาได้
คุณความดี,มีในตน,ควรรักษา,หมดคุณค่า,ถ้าทำลาย,ถึงรากโคน
สระน้ำใส,สารพิษภัย,อาจแฝงอยู่,พวกไม่รู้,เผลอลงว่าย,ตายช้าช้า
จงกระดาก,หากแค่ปาก,ลั่นวาจา,เพราะต่อมา,หาได้ทำ,ดั่งที่พูด
พวกสุรา,ฆ่าคนตาย,มากมายแล้ว,ไม่คลาดแคล้ว,ดึงเมืองไทย,ให้ค่อยจม
เพลินกับงาน,ผลาญความเบื่อ,ความจนได้,ความเลวร้าย,ถูกทำลาย,ด้วยงานดี
อิสรา,อย่าเบียดเบียน,กันและกัน,ถึงขั้นนั้น,ท่านย่อมมี,ความสุขใจ
เมื่ออยากได้,อย่ามุ่งหมาย,ได้ทุกสิ่ง,ชีวิตจริง,ยิ่งเตือนให้,ไม่หวังเกิน
ผิดวิสัย,ถ้าไม่เคย,กระทำผิด,หรือชีวิต,ไม่เคยพบ,ประสบการณ์
เรียนรู้ไป,ให้คงไว้,ความเชี่ยวชาญ,เสียบางงาน,หลายส่วนดี,คงมีไว้
ให้ประโยชน์,แก่ใครเขา,เราถูกชม,ถูกหมิ่นข่ม,ถ้าเราไม่,ให้ประโยชน์
